Word,Score
?,-1
_anxious_face_with_sweat_,-1
_anger_symbol_,-1
_angry_face_,-1
_angry_face_with_horns_,-1
_anguished_face_,-1
_astonished_face_,-1
_backhand_index_pointing_down_,-1
_backhand_index_pointing_left_,-1
_backhand_index_pointing_up_,1
_balloon_,1
_beaming_face_with_smiling_eyes_,1
_beating_heart_,1
_blossom_,1
_blue_heart_,1
_bomb_,-1
_bouquet_,1
_broken_heart_,-1
_bust_in_silhouette_,-1
_cancer_,-1
_cat_face_,-1
_cat_with_tears_of_joy_,-1
_clapping_hands_,1
_collision_,-1
_confounded_face_,-1
_confounded_face_hugely_,-1
_confused_face_,-1
_cross_mark_,-1
_cross_mark_button_,-1
_crown_,1
_crying_cat_,-1
_crying_face_,-1
_cyclone_,-1
_check_mark_,1
_check_mark_button_,1
_dashing_away_,-1
_disappointed_face_,-1
_downcast_face_with_sweat_,-1
_end_arrow_,-1
_enraged_face_,-1
_expressionless_face_,-1
_face_blowing_a_kiss_,1
_face_savoring_food_,1
_face_savouring_delicious_food_,1
_face_throwing_a_kiss_,1
_face_with_cold_sweat_,-1
_face_with_head_bandage_,-1
_face_with_head-bandage_,-1
_face_with_look_of_triumph_,1
_face_with_medical_mask_,1
_face_with_open_mouth_and_cold_sweat_,-1
_face_with_steam_from_nose_,-1
_face_with_stuck_out_tongue_and_winking_eye_,1
_face_with_tears_of_joy_,1
_face_with_tongue_,1
_face_with_thermometer_,-1
_fast_down_button_,-1
_fearful_face_,-1
_fireworks_,1
_flexed_biceps_,1
_foggy_,-1
_frowning_face_,-1
_gem_stone_,1
_green_heart_,1
_grimacing_face_,-1
_grinning_cat_,1
_grinning_cat_with_smiling_eyes_,1
_grinning_face_,1
_grinning_face_with_big_eyes_,1
_grinning_face_with_smiling_eyes_,1
_grinning_face_with_sweat_,1
_grinning_squinting_face_,1
_growing_heart_,1
_heart_decoration_,1
_heart_suit_,1
_heart_with_arrow_,1
_heart_with_ribbon_,1
_hugging_face_,1
_hundred_points_,1
_index_pointing_up_,1
_jack_o_lantern_,-1
_kiss_,1
_kiss_mark_,1
_kissing_cat_,1
_kissing_face_,1
_kissing_face_with_closed_eyes_,1
_kissing_face_with_smiling_eyes_,1
_loudly_crying_face_,-1
_love_hotel_,1
_love_letter_,1
_minus_,-1
_money_mouth_face_,1
_money_with_wings_,-1
_money-mouth_face_,1
_mouth_,-1
_ok,1
_ok_hand_,1
_party_popper_,1
_pensive_face_,-1
_persevering_face_,1
_person_gesturing_ok_,1
_person_pouting_,-1
